available,n_periods,test_start,test_end,n_universe_min,n_universe_max,n_holdings_min,n_holdings_max,final_wealth,final_cumulative_return,annualized_return_252,max_drawdown,mean_daily_gross_return,mean_daily_net_return,total_transaction_cost,mean_turnover,total_turnover,mean_rank_ic,benchmark_final_cumulative_return,benchmark_annualized_return_252,benchmark_max_drawdown,method,metric_status,unavailable_reason,initial_capital,sharpe,sortino,win_day_ratio,trade_count,cumulative_transaction_cost,cumulative_transaction_cost_amount,net_cumulative_return,maximum_drawdown,annualized_net_return,turnover_total,label,signal_definition,source,source_rows,common_rows
True,225,2025-07-01,2026-06-04,288,294,30,30,1.2729882362268514,0.2729882362268514,0.31039828843169426,-0.15527597610674737,0.0013022896801983886,0.001148734124642833,0.03455,0.10237037037037038,23.033333333333335,0.07769540943767292,0.21991705831587072,0.24936674134396997,-0.08144838636790697,odestream_direct,可验证,,1000000.0,1.4798383437899993,2.7089433941508037,0.5111111111111111,1352,0.03455,34550.0,0.2729882362268514,-0.15527597610674737,0.31039828843169426,23.033333333333335,ODEStream（24→1 close）,pred_close / current_close - 1; ODEStream direct close-only 24→1,train3/csi300_csi800_aligned_seed100/experiments/odestream_direct_24x1/predictions.csv,66709,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.4367739012943808,0.43677390129438076,0.5006348987748188,-0.1360442670019889,0.001842347056777391,0.0016885692789996131,0.0346,0.10251851851851854,23.06666666666667,0.013541764465975296,0.21991705831587072,0.24936674134396997,-0.08144838636790697,adapter_continual,可验证,,1000000.0,2.159394151345075,3.370658750252051,0.5644444444444444,1354,0.0346,34600.0,0.43677390129438076,-0.1360442670019889,0.5006348987748188,23.06666666666667,Adapter + Continual,existing frozen-hidden Adapter continual pred_signal,train3/csi300_csi800_aligned_seed100/experiments/adapter_continual/predictions.csv,66103,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.6952355092514466,0.6952355092514466,0.8060827540079802,-0.08475011950705225,0.0025769209508542663,0.002423587617520933,0.0345,0.10222222222222224,23.000000000000004,0.01703749801643126,0.21991705831587094,0.2493667413439702,-0.08144838636790697,prediction_adapter,可验证,,1000000.0,3.134737079043498,4.8486557813224636,0.6088888888888889,1350,0.0345,34500.0,0.6952355092514466,-0.08475011950705225,0.8060827540079802,23.000000000000004,静态 Prediction Adapter,existing static prediction adapter pred_signal,train3/csi300_csi800_aligned_seed100/experiments/C_prediction_adapter/predictions.csv,66103,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.441948546957061,0.441948546957061,0.5066894086288345,-0.0882745563279147,0.001853295414536089,0.0016990731923138664,0.034699999999999995,0.10281481481481484,23.13333333333334,0.013464790183003584,0.21991705831587094,0.2493667413439702,-0.08144838636790708,ranking_adapter,可验证,,1000000.0,2.255696591547557,3.361453375964432,0.5555555555555556,1358,0.034699999999999995,34699.99999999999,0.441948546957061,-0.0882745563279147,0.5066894086288345,23.13333333333334,静态 Ranking Adapter,existing static ranking adapter pred_signal,train3/csi300_csi800_aligned_seed100/experiments/D_ranking_adapter/predictions.csv,66103,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.2623637155477936,0.2623637155477936,0.29815527782387274,-0.10287971352758185,0.0012642532542899829,0.0011111421431788712,0.034449999999999995,0.10207407407407408,22.96666666666667,-0.0007510355452435673,0.21991705831587072,0.24936674134396997,-0.08144838636790697,continual_A,可验证,,1000000.0,1.4343386769340882,2.1990628623227804,0.5244444444444445,1348,0.034449999999999995,34449.99999999999,0.2623637155477936,-0.10287971352758185,0.29815527782387274,22.96666666666667,Continual A（原始信号）,existing continual ABC group A pred_signal,train3/csi300_csi800_aligned_seed100/experiments/continual_ABC/predictions_A.csv,66103,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.3373881603172588,0.3373881603172588,0.3848679708344067,-0.11217577552230584,0.0015115584532419863,0.0013577806754642087,0.0346,0.10251851851851854,23.06666666666667,0.018347446095652583,0.21991705831587072,0.24936674134396997,-0.08144838636790697,continual_B,可验证,,1000000.0,1.884525451917678,3.1247769344136227,0.5155555555555555,1354,0.0346,34600.0,0.3373881603172588,-0.11217577552230584,0.3848679708344067,23.06666666666667,Continual B（冻结排序头）,existing continual ABC group B pred_signal,train3/csi300_csi800_aligned_seed100/experiments/continual_ABC/predictions_B.csv,66103,65425
True,225,2025-07-01,2026-06-04,288,294,30,30,1.3120697209167476,0.31206972091674756,0.35553814390319904,-0.09832658644242387,0.001416974844755952,0.0012634192892003958,0.03455,0.10237037037037038,23.033333333333335,0.01776088783372392,0.21991705831587094,0.2493667413439702,-0.08144838636790708,continual_C,可验证,,1000000.0,1.8968450470427027,3.022454976195936,0.5644444444444444,1352,0.03455,34550.0,0.31206972091674756,-0.09832658644242387,0.35553814390319904,23.033333333333335,Continual C（持续更新）,existing continual ABC group C pred_signal,train3/csi300_csi800_aligned_seed100/experiments/continual_ABC/predictions_C.csv,66103,65425
