index,code,name,exchange,ticker,project_code
CSI800,600000,浦发银行,SH,600000.SH,sh.600000
CSI800,600004,白云机场,SH,600004.SH,sh.600004
CSI800,600008,首创环保,SH,600008.SH,sh.600008
CSI800,600009,上海机场,SH,600009.SH,sh.600009
CSI800,600010,包钢股份,SH,600010.SH,sh.600010
CSI800,600011,华能国际,SH,600011.SH,sh.600011
CSI800,600015,华夏银行,SH,600015.SH,sh.600015
CSI800,600016,民生银行,SH,600016.SH,sh.600016
CSI800,600018,上港集团,SH,600018.SH,sh.600018
CSI800,600019,宝钢股份,SH,600019.SH,sh.600019
CSI800,600021,上海电力,SH,600021.SH,sh.600021
CSI800,600023,浙能电力,SH,600023.SH,sh.600023
CSI800,600025,华能水电,SH,600025.SH,sh.600025
CSI800,600026,中远海能,SH,600026.SH,sh.600026
CSI800,600027,华电国际,SH,600027.SH,sh.600027
CSI800,600028,中国石化,SH,600028.SH,sh.600028
CSI800,600029,南方航空,SH,600029.SH,sh.600029
CSI800,600030,中信证券,SH,600030.SH,sh.600030
CSI800,600031,三一重工,SH,600031.SH,sh.600031
CSI800,600032,浙江新能,SH,600032.SH,sh.600032
CSI800,600036,招商银行,SH,600036.SH,sh.600036
CSI800,600038,中直股份,SH,600038.SH,sh.600038
CSI800,600039,四川路桥,SH,600039.SH,sh.600039
CSI800,600048,保利发展,SH,600048.SH,sh.600048
CSI800,600050,中国联通,SH,600050.SH,sh.600050
CSI800,600060,海信视像,SH,600060.SH,sh.600060
CSI800,600061,国投资本,SH,600061.SH,sh.600061
CSI800,600062,华润双鹤,SH,600062.SH,sh.600062
CSI800,600066,宇通客车,SH,600066.SH,sh.600066
CSI800,600085,同仁堂,SH,600085.SH,sh.600085
CSI800,600089,特变电工,SH,600089.SH,sh.600089
CSI800,600095,湘财股份,SH,600095.SH,sh.600095
CSI800,600098,广州发展,SH,600098.SH,sh.600098
CSI800,600100,同方股份,SH,600100.SH,sh.600100
CSI800,600104,上汽集团,SH,600104.SH,sh.600104
CSI800,600105,永鼎股份,SH,600105.SH,sh.600105
CSI800,600109,国金证券,SH,600109.SH,sh.600109
CSI800,600111,北方稀土,SH,600111.SH,sh.600111
CSI800,600115,中国东航,SH,600115.SH,sh.600115
CSI800,600118,中国卫星,SH,600118.SH,sh.600118
CSI800,600126,杭钢股份,SH,600126.SH,sh.600126
CSI800,600131,国网信通,SH,600131.SH,sh.600131
CSI800,600132,重庆啤酒,SH,600132.SH,sh.600132
CSI800,600141,兴发集团,SH,600141.SH,sh.600141
CSI800,600143,金发科技,SH,600143.SH,sh.600143
CSI800,600150,中国船舶,SH,600150.SH,sh.600150
CSI800,600153,建发股份,SH,600153.SH,sh.600153
CSI800,600157,永泰能源,SH,600157.SH,sh.600157
CSI800,600160,巨化股份,SH,600160.SH,sh.600160
CSI800,600161,天坛生物,SH,600161.SH,sh.600161
CSI800,600166,福田汽车,SH,600166.SH,sh.600166
CSI800,600170,上海建工,SH,600170.SH,sh.600170
CSI800,600171,上海贝岭,SH,600171.SH,sh.600171
CSI800,600176,中国巨石,SH,600176.SH,sh.600176
